P1,P2,P3,P4
3.103000000000000114e+01,5.415999999999999659e+01,-9.393000000000000682e+01,-5.307000000000002160e+01
3.099326048000000000e+01,5.420627219897836824e+01,-9.390130872327587497e+01,-5.314160091570253286e+01
3.088502783999999934e+01,5.434258759596870902e+01,-9.381678577292638010e+01,-5.335253334304236006e+01
3.070828095999999974e+01,5.456519439105385061e+01,-9.367875746868593012e+01,-5.369699180236795399e+01
3.046599872000000175e+01,5.487034078431662465e+01,-9.348955013028890448e+01,-5.416917081402775125e+01
3.016116000000000241e+01,5.525427497583987702e+01,-9.325149007746969687e+01,-5.476326489837020972e+01
2.979674368000000229e+01,5.571324516570642515e+01,-9.296690362996270096e+01,-5.547346857574375889e+01
2.937572864000000195e+01,5.624349955399912204e+01,-9.263811710750229622e+01,-5.629397636649684955e+01
2.890109376000000196e+01,5.684128634080079223e+01,-9.226745682982289054e+01,-5.721898279097793250e+01
2.837581792000000291e+01,5.750285372619427449e+01,-9.185724911665884918e+01,-5.824268236953545141e+01
2.780288000000000181e+01,5.822444991026239336e+01,-9.140982028774458001e+01,-5.935926962251785000e+01
2.718525887999999924e+01,5.900232309308800183e+01,-9.092749666281446252e+01,-6.056293907027357193e+01
2.652593344000000286e+01,5.983272147475391733e+01,-9.041260456160289039e+01,-6.184788523315106090e+01
2.582788255999999905e+01,6.071189325534298575e+01,-8.986747030384425727e+01,-6.320830263149876060e+01
2.509408511999999902e+01,6.163608663493803874e+01,-8.929442020927294266e+01,-6.463838578566512183e+01
2.432751999999999981e+01,6.260154981362190085e+01,-8.869578059762334021e+01,-6.613232921599859537e+01
2.353116607999999843e+01,6.360453099147742506e+01,-8.807387778862984362e+01,-6.768432744284760361e+01
2.270800223999999901e+01,6.464127836858743592e+01,-8.743103810202684656e+01,-6.928857498656060443e+01
2.186100736000000211e+01,6.570804014503475798e+01,-8.676958785754872849e+01,-7.093926636748605574e+01
2.099316032000000121e+01,6.680106452090225844e+01,-8.609185337492988310e+01,-7.263059610597238702e+01
2.010743999999999687e+01,6.791659969627274052e+01,-8.540016097390470406e+01,-7.435675872236805617e+01
1.920682528000000389e+01,6.905089387122903588e+01,-8.469683697420757085e+01,-7.611194873702149266e+01
1.829429504000000151e+01,7.020019524585400461e+01,-8.398420769557287713e+01,-7.789036067028115440e+01
1.737282815999999741e+01,7.136075202023047837e+01,-8.326459945773501659e+01,-7.968618904249547086e+01
1.644540351999999928e+01,7.252881239444127459e+01,-8.254033858042838290e+01,-8.149362837401289994e+01
1.551500000000000057e+01,7.370062456856922495e+01,-8.181375138338735553e+01,-8.330687318518188533e+01
1.458459647999999831e+01,7.487243674269718952e+01,-8.108716418634632817e+01,-8.512011799635087073e+01
1.365717184000000373e+01,7.604049711690797153e+01,-8.036290330903969448e+01,-8.692755732786829981e+01
1.273570495999999963e+01,7.720105389128444529e+01,-7.964329507120183393e+01,-8.872338570008261627e+01
1.182317472000000080e+01,7.835035526590941402e+01,-7.893066579256714022e+01,-9.050179763334227800e+01
1.092255999999999716e+01,7.948464944086572359e+01,-7.822734179287000700e+01,-9.225698764799571450e+01
1.003683967999999993e+01,8.060018461623619146e+01,-7.753564939184482796e+01,-9.398315026439138364e+01
9.168992639999999028e+00,8.169320899210367770e+01,-7.685791490922598257e+01,-9.567448000287771492e+01
8.321997759999995026e+00,8.275997076855102819e+01,-7.619646466474786450e+01,-9.732517138380316624e+01
7.498833919999995601e+00,8.379671814566103194e+01,-7.555362497814485323e+01,-9.892941892751616706e+01
6.702480000000001326e+00,8.479969932351653483e+01,-7.493172216915137085e+01,-1.004814171543651753e+02
5.935914880000002114e+00,8.576516250220041115e+01,-7.433308255750176841e+01,-1.019753605846986488e+02
5.202117440000005644e+00,8.668935588179544993e+01,-7.376003246293046800e+01,-1.034054437388650030e+02
4.504066559999998276e+00,8.756852766238452546e+01,-7.321489820517182068e+01,-1.047658611372127098e+02
3.844741119999998347e+00,8.839892604405045518e+01,-7.270000610396024854e+01,-1.060508073000902129e+02
3.227119999999995770e+00,8.917679922687605654e+01,-7.221768247903013105e+01,-1.072544767478459278e+02
2.654182079999994670e+00,8.989839541094417541e+01,-7.177025365011586189e+01,-1.083710640008283264e+02
2.128906240000006278e+00,9.055996279633765766e+01,-7.136004593695183473e+01,-1.093947635793858240e+02
1.654271359999999191e+00,9.115774958313932075e+01,-7.098938565927241484e+01,-1.103197700038669211e+02
1.233256319999998851e+00,9.168800397143202474e+01,-7.066059913681201010e+01,-1.111402777946200047e+02
8.688400000000022771e-01,9.214697416129857288e+01,-7.037601268930501419e+01,-1.118504814719935609e+02
5.640012799999993831e-01,9.253090835282182525e+01,-7.013795263648580658e+01,-1.124445755563360194e+02
3.217190399999978467e-01,9.283605474608461350e+01,-6.994874529808878094e+01,-1.129167545679958238e+02
1.449721599999875821e-01,9.305866154116975508e+01,-6.981071699384833096e+01,-1.132612130273214461e+02
3.673952000000113571e-02,9.319497693816008166e+01,-6.972619404349885031e+01,-1.134721454546612307e+02
0.000000000000000000e+00,9.324124913713845331e+01,-6.969750276677470424e+01,-1.135437463703637491e+02
0.000000000000000000e+00,9.243999999999998352e+01,-7.044000000000001194e+01,-1.116500000000000057e+02
2.660618035429428499e-03,9.235705910807952534e+01,-7.050411320615620525e+01,-1.115037867182498701e+02
1.043582219721833973e-02,9.211467844334109145e+01,-7.069147315812723775e+01,-1.110765032443975571e+02
2.301563756861767576e-02,9.172252102231909987e+01,-7.099461035616674565e+01,-1.103851841355401575e+02
4.009008923287837867e-02,9.119024986154799706e+01,-7.140605530052836514e+01,-1.094468639487747623e+02
6.134920227325137837e-02,9.052752797756217262e+01,-7.191833849146576085e+01,-1.082785772411984908e+02
8.648300177298763602e-02,8.974401838689608724e+01,-7.252399042923256900e+01,-1.068973585699084481e+02
1.151815128153381024e-01,8.884938410608411630e+01,-7.321554161408243999e+01,-1.053202424920017108e+02
1.471347604835536171e-01,8.785328815166072047e+01,-7.398552254626901004e+01,-1.035642635645754126e+02
1.820327698608852351e-01,8.676539354016031780e+01,-7.482646372604594376e+01,-1.016464563447266443e+02
2.195655660305839141e-01,8.559536328811731209e+01,-7.573089565366689158e+01,-9.958385538955249672e+01
2.594231740759004867e-01,8.435286041206614982e+01,-7.669134882938547548e+01,-9.739349525615008929e+01
3.012956190800859524e-01,8.304754792854122059e+01,-7.770035375345534590e+01,-9.509241050161651287e+01
3.448729261263913659e-01,8.168908885407697085e+01,-7.875044092613018165e+01,-9.269763568304885837e+01
3.898451202980674490e-01,8.028714620520783285e+01,-7.983414084766359053e+01,-9.022620535754425930e+01
4.359022266783650346e-01,7.885138299846821042e+01,-8.094398401830923717e+01,-8.769515408219980657e+01
4.827342703505355104e-01,7.739146225039253579e+01,-8.207250093832077198e+01,-8.512151641411259106e+01
5.300312763978295427e-01,7.591704697751521280e+01,-8.321222210795184537e+01,-8.252232691037971790e+01
5.774832699034980754e-01,7.443780019637068790e+01,-8.435567802745607935e+01,-7.991462012809830640e+01
6.247802759507922188e-01,7.296338492349337912e+01,-8.549539919708715274e+01,-7.731543062436543323e+01
6.716123196229625281e-01,7.150346417541770450e+01,-8.662391611709867334e+01,-7.474179295627821773e+01
7.176694260032604467e-01,7.006770096867808206e+01,-8.773375928774433419e+01,-7.221074168093375079e+01
7.626416201749364188e-01,6.866575831980892985e+01,-8.881745920927774307e+01,-6.973931135542915172e+01
8.062189272212416657e-01,6.730729924534469433e+01,-8.986754638195256462e+01,-6.734453653686151142e+01
8.480913722254271869e-01,6.600198676181977930e+01,-9.087655130602246345e+01,-6.504345178232793501e+01
8.879489802707437596e-01,6.475948388576860282e+01,-9.183700448174104736e+01,-6.285309164892552047e+01
9.254817764404426050e-01,6.358945363372559001e+01,-9.274143640936198096e+01,-6.079049069375136582e+01
9.603797858177739455e-01,6.250155902222518733e+01,-9.358237758913891469e+01,-5.887268347390260459e+01
9.923330334859896684e-01,6.150546306780178440e+01,-9.435235852132549894e+01,-5.711670454647629924e+01
1.021031544528339996e+00,6.061082878698983478e+01,-9.504390970617535572e+01,-5.553958846856958331e+01
1.046165344028076039e+00,5.982731919632374229e+01,-9.564956164394216387e+01,-5.415836979727953349e+01
1.067424457068449239e+00,5.916459731233791786e+01,-9.616184483487955958e+01,-5.299008308970325487e+01
1.084498908732709932e+00,5.863232615156680794e+01,-9.657328977924117908e+01,-5.205176290293786678e+01
1.097078724104109337e+00,5.824016873054482346e+01,-9.687642697728068697e+01,-5.136044379408046012e+01
1.104853928265898455e+00,5.799778806580638957e+01,-9.706378692925171947e+01,-5.093316032022813999e+01
1.107514546301327618e+00,5.791484717388593140e+01,-9.712790013540791279e+01,-5.078694703847801861e+01
5.799999999999840838e-01,5.706000000000000227e+01,-9.741000000000001080e+01,-5.162000000000000455e+01
5.812672652657342454e-01,5.701458827720491485e+01,-9.740864889564988971e+01,-5.157120678680285408e+01
5.849706326928294509e-01,5.688188023292023132e+01,-9.740470052274321233e+01,-5.142861691134320523e+01
5.909624597260364487e-01,5.666716655329683761e+01,-9.739831229149554304e+01,-5.119791501981880089e+01
5.990951038101225423e-01,5.637573792448562671e+01,-9.738964161212241777e+01,-5.088478575842735552e+01
6.092209223898543691e-01,5.601288503263747742e+01,-9.737884589483940090e+01,-5.049491377336660491e+01
6.211922729099992324e-01,5.558389856390327566e+01,-9.736608254986201416e+01,-5.003398371083427065e+01
6.348615128153238807e-01,5.509406920443390021e+01,-9.735150898740582193e+01,-4.950768021702808142e+01
6.500809995505951733e-01,5.454868764038023699e+01,-9.733528261768638856e+01,-4.892168793814575878e+01
6.667030905605804136e-01,5.395304455789317899e+01,-9.731756085091923580e+01,-4.828169152038503142e+01
6.845801432900463501e-01,5.331243064312359792e+01,-9.729850109731991381e+01,-4.759337560994363514e+01
7.035645151837600642e-01,5.263213658222238678e+01,-9.727826076710398695e+01,-4.686242485301927729e+01
7.235085636864884151e-01,5.191745306134042437e+01,-9.725699727048699117e+01,-4.609452389580970788e+01
7.442646462429984844e-01,5.117367076662860370e+01,-9.723486801768449084e+01,-4.529535738451263427e+01
7.656851202980570203e-01,5.040608038423779647e+01,-9.721203041891200769e+01,-4.447060996532579225e+01
7.876223432964312154e-01,4.961997260031890278e+01,-9.718864188438512031e+01,-4.362596628444691049e+01
8.099286726828880401e-01,4.882063810102279433e+01,-9.716485982431935042e+01,-4.276711098807371059e+01
8.324564659021944646e-01,4.801336757250035703e+01,-9.714084164893026241e+01,-4.189972872240392121e+01
8.550580803991172374e-01,4.720345170090248388e+01,-9.711674476843339221e+01,-4.102950413363527105e+01
8.775858736184236619e-01,4.639618117238004658e+01,-9.709272659304430420e+01,-4.016212186796547456e+01
8.998922030048804865e-01,4.559684667308393813e+01,-9.706894453297853431e+01,-3.930326657159227466e+01
9.218294260032546816e-01,4.481073888916503734e+01,-9.704555599845164693e+01,-3.845862289071339291e+01
9.432499000583133286e-01,4.404314850677423721e+01,-9.702271839967916378e+01,-3.763387547152655088e+01
9.640059826148232869e-01,4.329936621206241654e+01,-9.700058914687666345e+01,-3.683470896022947727e+01
9.839500311175517488e-01,4.258468269118045413e+01,-9.697932565025966767e+01,-3.606680800301990786e+01
1.002934403011265463e+00,4.190438863027924299e+01,-9.695908532004374081e+01,-3.533585724609555712e+01
1.020811455740731510e+00,4.126377471550966192e+01,-9.694002556644441881e+01,-3.464754133565415373e+01
1.037433546750716529e+00,4.066813163302260392e+01,-9.692230379967726606e+01,-3.400754491789342637e+01
1.052653033485988043e+00,4.012275006896894070e+01,-9.690607742995783269e+01,-3.342155263901111084e+01
1.066322273391312470e+00,3.963292070949957235e+01,-9.689150386750164046e+01,-3.289524914520491450e+01
1.078293623911457111e+00,3.920393424076536348e+01,-9.687874052252425372e+01,-3.243431908267258734e+01
1.088419442491189049e+00,3.884108134891721420e+01,-9.686794480524123685e+01,-3.204444709761182963e+01
1.096552086575275364e+00,3.854965272010599620e+01,-9.685927412586811158e+01,-3.173131783622038782e+01
1.102543913608482473e+00,3.833493904048260958e+01,-9.685288589462044229e+01,-3.150061594469597992e+01
1.106247281035577679e+00,3.820223099619792606e+01,-9.684893752171376491e+01,-3.135802606923633462e+01
1.107514546301327618e+00,3.815681927340283863e+01,-9.684758641736364382e+01,-3.130923285603918416e+01
5.799999999999840838e-01,3.820999999999999375e+01,-9.741000000000001080e+01,-3.190000000000000568e+01
5.812672652657342454e-01,3.825733759204454998e+01,-9.740932230236612099e+01,-3.194537272408078010e+01
5.849706326928294509e-01,3.839567366199999299e+01,-9.740734184617387825e+01,-3.207796680124886990e+01
5.909624597260364487e-01,3.861949315059899845e+01,-9.740413758648743681e+01,-3.229249608889292489e+01
5.990951038101225423e-01,3.892328099857424206e+01,-9.739978847837092246e+01,-3.258367444440158778e+01
6.092209223898543691e-01,3.930152214665839949e+01,-9.739437347688848945e+01,-3.294621572516351193e+01
6.211922729099992324e-01,3.974870153558413932e+01,-9.738797153710427779e+01,-3.337483378856733651e+01
6.348615128153238807e-01,4.025930410608413013e+01,-9.738066161408242749e+01,-3.386424249200172198e+01
6.500809995505951733e-01,4.082781479889105469e+01,-9.737252266288709279e+01,-3.440915569285530040e+01
6.667030905605804136e-01,4.144871855473758160e+01,-9.736363363858238529e+01,-3.500428724851673223e+01
6.845801432900463501e-01,4.211650031435638653e+01,-9.735407349623248763e+01,-3.564435101637465664e+01
7.035645151837600642e-01,4.282564501848014515e+01,-9.734392119090151141e+01,-3.632406085381772698e+01
7.235085636864884151e-01,4.357063760784151896e+01,-9.733325567765359665e+01,-3.703813061823458241e+01
7.442646462429984844e-01,4.434596302317319783e+01,-9.732215591155291179e+01,-3.778127416701388341e+01
7.656851202980570203e-01,4.514610620520784323e+01,-9.731070084766359685e+01,-3.854820535754426913e+01
7.876223432964312154e-01,4.596555209467813086e+01,-9.729896944104976342e+01,-3.933363804721438584e+01
8.099286726828880401e-01,4.679878563231673638e+01,-9.728704064677559415e+01,-4.013228609341288688e+01
8.324564659021944646e-01,4.764029175885633549e+01,-9.727499341990520065e+01,-4.093886335352841144e+01
8.550580803991172374e-01,4.848455541502958965e+01,-9.726290671550272293e+01,-4.174808368494961286e+01
